taxon_oid	genome_name	phylum_gtdbtk	class_gtdbtk	order_gtdbtk	family_gtdbtk	genus_gtdbtk	species	ANI.Cluster.ID	habitat	genome_size	total_coding	total_gc_coding	gene_count	kegg_unannotated	protein_count	percent_GC	rRNA_16s	rRNA_23s	rRNA_count_estimated	trna_count	total_motifs	str_motifs	completeness	contamination	temperature_class	multicellular	doubling_estimated	doubling_measured	reference
2711768632	Burkholderia sp. OK233	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Paraburkholderia	Burkholderia sp. OK233	11755		10756907	9264043	5736619	10136	82.59	9974	61.21	6	6	6	65	7655	2701	99.5	1.86	mesophilic	unicellular	2.392533673	NA	
2597490371	Nannocystis exedens ATCC 25963	Myxococcota	Polyangia	Nannocystales	Nannocystaceae		Nannocystis exedens	1735	Soil	11612870	9895600	7151652	9258	73.74	9154	72.2	4	1	1	76	17841	9665	95.81	4.29	mesophilic	multicellular	18.86498888	NA	
2770939505	Roseimicrobium gellanilyticum DSM 25532	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae		Roseimicrobium gellanilyticum	12981		7930206	7082660	4257953	6584	72.54	6510	59.67	1	1	1	67	8382	3633	99.32	4.99	mesophilic	unicellular	5.329990876	NA	
2507262048	Calothrix sp. PCC 7103	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix	Calothrix sp. PCC 7103	6509		11584393	9575557	3783239	10329	72.42	10231	38.55	7	5	5	65	5727	1838	99.39	1.14	mesophilic	multicellular	9.195776327	NA	
2861551589	Armatimonas rosea DSM 23562	Armatimonadota					Armatimonas rosea	16174		6325924	5934233	3733717	5997	72.39	5900	62.36	1	1	1	82	6334	2354	95.37	0.93	mesophilic	unicellular	9.755075506	NA	
2831870349	Capsulimonas corticalis AX-7	Armatimonadota					Capsulimonas corticalis	14842		7601130	6814255	4185361	6781	72.29	6673	60.37	3	5	3	81	6742	2768	97.22	2.98	mesophilic	unicellular	26.99392198	NA	
2784746778	Pseudobacteriovorax antillogorgiicola DSM 103413	Bdellovibrionota	Oligoflexia	Oligoflexales	Oligoflexaceae		Pseudobacteriovorax antillogorgiicola	2941		7271010	6457990	2999911	6401	72.19	6346	45.94	2	1	1	44	3204	1126	90.76	2.52	mesophilic	unicellular	10.50374066	NA	
2751185673	Fuerstia marisgermanicae NH11	Planctomycetota	Planctomycetes	Planctomycetales	Planctomycetaceae		Fuerstia marisgermanicae	12555		8920478	7827014	4391023	6717	71.92	6641	55.9	2	1	1	60	6962	2697	96.6	1.11	mesophilic	unicellular	15.73139832	7.53	"Kohn T et al, Front Microbiol 2016"
2622736583	Spirosoma endophyticum DSM 26130	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Spirosoma	Spirosoma endophyticum	9523		8512335	7394647	3635812	7646	71.91	7593	48.02	2	1	1	41	3694	1019	100	0.6	mesophilic	unicellular	6.678097961	NA	
2509887024	Calothrix desertica PCC 7102	Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Calothrix	Calothrix desertica	6606	"Sand, Soil"	11416284	9558119	3771050	10426	71.63	10334	38.55	5	7	5	65	5631	1759	99.27	1.87	mesophilic	multicellular	7.678140121	NA	
