"X","genome","gene","disordered_residues","protein_length","ko_id","percent"
0,2140918011,2143740506,7,446,"K02313",0.015695067264574
0,2140918011,2143740641,16,327,"K08884",0.0489296636085627
0,2140918011,2143741368,120,616,"K08884",0.194805194805195
0,2140918011,2143742867,5,467,"K02484",0.0107066381156317
0,2501004205,2501021414,8,503,"K07793",0.0159045725646123
0,2501004205,2501021631,96,485,"K04771",0.197938144329897
0,2501004205,2501021864,40,605,"K06207",0.0661157024793388
0,2501004205,2501022322,28,758,"K00936",0.0369393139841689
0,2501004205,2501022363,30,404,"K08738",0.0742574257425743
0,2501004205,2501023084,0,504,"K07793",0
0,2501004205,2501023443,34,454,"K07712",0.0748898678414097
0,2501004205,2501023444,20,357,"K07708",0.0560224089635854
0,2501004205,2501023801,39,439,"K07638",0.0888382687927107
0,2501004205,2501024331,1,498,"K07793",0.00200803212851406
0,2501004205,2501024556,10,139,"K08738",0.0719424460431655
0,2501004205,2501024685,18,235,"K08738",0.0765957446808511
0,2501004205,2501024686,41,342,"K08738",0.119883040935673
0,2501004205,2501024718,34,943,"K00990",0.0360551431601273
0,2501004205,2501025147,6,289,"K02556",0.0207612456747405
0,2501004205,2501025220,121,819,"K00936",0.147741147741148
0,2501004205,2501025234,64,781,"K00936",0.0819462227912932
0,2501004205,2501025318,36,184,"K15012",0.195652173913043
0,2501004205,2501025320,49,463,"K15011",0.105831533477322
0,2501004205,2501025444,23,605,"K07182",0.0380165289256198
0,2501004205,2501025471,40,438,"K03092",0.091324200913242
0,2501533205,2501564772,17,358,"K03412",0.0474860335195531
0,2501533205,2501564786,18,264,"K02556",0.0681818181818182
0,2501533205,2501564981,18,174,"K03408",0.103448275862069
0,2501533205,2501565070,153,398,"K08884",0.384422110552764
0,2501533205,2501565185,124,711,"K03406",0.174402250351617
0,2501533205,2501565275,63,717,"K03407",0.0878661087866109
0,2501533205,2501565277,0,168,"K03408",0
0,2501533205,2501565463,22,440,"K02313",0.05
0,2501533205,2501565522,123,678,"K03406",0.18141592920354
0,2501533205,2501565623,150,714,"K03406",0.210084033613445
