ko_id	median_expression_rank	genomes_w_ko	genomes_w_motif	genomes_w_str_motif	percent_genomes_w_ko	avg_motifs_100aa_gc	avg_str_motifs_100aa_gc	a_level	b_level	c_level	description
K00001	2063	1440	66.31944444	36.59722222	44.2804428	0.005039662	0.002344531	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"E1.1.1.1, adh; alcohol dehydrogenase"
K00003	1050	2579	18.76696394	4.575416828	79.30504305	0.000918547	0.000215958	Metabolism	Amino acid metabolism	"Glycine, serine and threonine metabolism"	hom; homoserine dehydrogenase
K00008	1721	839	67.69964243	16.20977354	25.799508	0.004667472	0.000772482	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	"SORD, gutB; L-iditol 2-dehydrogenase"
K00010	1648	860	88.13953488	74.30232558	26.44526445	0.008349959	0.005467759	Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
K00012	1104.5	2746	39.76693372	4.989075018	84.4403444	0.002024044	0.000225193	Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions	"UGDH, ugd; UDPglucose 6-dehydrogenase"
K00013	1467	2999	62.88762921	11.33711237	92.2201722	0.003694589	0.000516467	Metabolism	Amino acid metabolism	Histidine metabolism	hisD; histidinol dehydrogenase
K00014	2239	3087	41.17265954	12.63362488	94.92619926	0.0047208	0.001094653	Metabolism	Amino acid metabolism	"Phenylalanine, tyrosine and tryptophan biosynthesis"	aroE; shikimate dehydrogenase
K00015	1577.5	843	75.3262159	60.73546856	25.92250923	0.006358264	0.004343363	Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	"gyaR, GOR1; glyoxylate reductase"
K00016	1014	880	28.86363636	6.704545455	27.0602706	0.002710121	0.00064314	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	"LDH, ldh; L-lactate dehydrogenase"
K00019	1471.5	1353	20.10347376	2.80857354	41.60516605	0.002283371	0.000312023	Metabolism	Carbohydrate metabolism	Butanoate metabolism	"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase"
